question,gold_answer,expected_policy,answer,sources
What is the probationary period?,Employees serve a probationary period before regularization,03-human-resources-policy.md,"The probationary period for new employees is six months, as outlined in **Source 1** (Document: 03-human-resources-policy.md, Section: Probationary Employment). During this period, performance reviews are conducted at the 3rd and 6th months to assess suitability and progress. This policy ensures employees meet expectations before transitioning to permanent roles. 

**Source 1** explicitly states the six-month duration and review schedule. No other sources in the context mention probationary periods. 

Answer:  
The probationary period is **six months**, with performance reviews at **Month 3** and **Month 6** (Source 1).",03-human-resources-policy.md; 04-compensation-benefits-policy.md; 06-information-technology-policy.md
How often are performance reviews conducted?,Performance reviews are conducted on a regular schedule,03-human-resources-policy.md,"Performance reviews are conducted quarterly for all employees during check-ins and annually during the Performance Review process. Additionally, probationary employees undergo reviews at Month 3 and Month 6 of their probationary period. These reviews assess criteria such as Results, Collaboration, Accountability, and Innovation (Source 1). For probationary employees, reviews are specifically scheduled at 3 and 6 months (Source 3). Departmental KPIs like Audience Growth and System Availability are monitored weekly via reporting, but this pertains to operational metrics rather than individual performance reviews (Sources 2 and 4). Promotions depend on exceeding expectations and demonstrating competencies, but review frequency is tied to the above schedules (Source 5). 

**Sources:**  
Source 1: Quarterly check-ins and annual reviews.  
Source 3: Probationary reviews at Month 3 and Month 6.",03-human-resources-policy.md; 05-operations-policy.md
What is the employee code of conduct?,Employees must follow the company code of conduct,03-human-resources-policy.md,"The employee code of conduct is outlined in the **Code of Conduct** policy (OD-POL-002) and includes the following key sections:  

1. **Ethical Standards** (Source 2): Employees must follow laws and regulations, avoid bribery and corruption, and report unethical conduct.  
2. **Professional Conduct** (Source 3): Employees must treat colleagues respectfully, maintain professionalism, avoid abusive language, and support diversity and inclusion.  
3. **Purpose** (Source 4): The code establishes behavioral expectations for all employees.  
4. **Communication Principles** (Source 5): Employees must assume positive intent, communicate respectfully, escalate issues early, and share relevant information promptly.  

These sections collectively define the expected behavior and standards for employees.  

**Sources**:  
- Source 1: Code of Conduct (OD-POL-002)  
- Source 2: Ethical Standards  
- Source 3: Professional Conduct  
- Source 4: Purpose  
- Source 5: Communication Principles",01-company-overview.md; 02-code-of-conduct.md
How should workplace harassment be reported?,Harassment incidents must be reported through designated channels,03-human-resources-policy.md,"Workplace harassment should be reported to the direct manager, Human Resources, or the Executive Office, as outlined in **Source 3**. The policy explicitly states that retaliation against reporters is prohibited. Employees are encouraged to escalate concerns promptly and follow established channels to ensure accountability. This aligns with broader professional conduct standards, which emphasize respectful communication and support for diversity, as noted in **Source 2** and **Source 4**.",01-company-overview.md; 02-code-of-conduct.md
What is the disciplinary process for policy violations?,Policy violations are addressed through disciplinary procedures,03-human-resources-policy.md,I can only answer questions about the company policies contained in the knowledge base.,01-company-overview.md; 02-code-of-conduct.md; 04-compensation-benefits-policy.md
How many annual leave days are provided?,Employees receive annual leave benefits,04-compensation-benefits-policy.md,"The company provides **15 annual vacation leave days** as stated in the **Vacation Leave** section of the compensation and benefits policy.  

**Source:**  
[Source 1] Document: 04-compensation-benefits-policy.md, Section: Vacation Leave.  

Note: Sick leave and bereavement leave are separate from annual leave, with 15 days and 3 days respectively, but these are not classified as ""annual leave.""",03-human-resources-policy.md; 04-compensation-benefits-policy.md
Are employees eligible for health insurance?,Eligible employees receive health insurance benefits,04-compensation-benefits-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

The provided context does not include specific information about health insurance eligibility for employees. The referenced documents cover topics such as compensation, equipment allowances, leave benefits, and parental leave, but none explicitly address health insurance policies.  

Sources:  
- [Source 1](#source-1)  
- [Source 2](#source-2)  
- [Source 3](#source-3)  
- [Source 4](#source-4)  
- [Source 5](#source-5)",04-compensation-benefits-policy.md; 06-information-technology-policy.md
How is overtime compensation handled?,Overtime is compensated according to company policy,04-compensation-benefits-policy.md,"Overtime compensation requires manager approval, as stated in the Overtime section of the policy. Unauthorized overtime may not be compensated. [Source 1]",04-compensation-benefits-policy.md
How should project documentation be maintained?,Project documentation must be kept accurate and current,05-operations-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

The provided context does not specify how project documentation should be maintained. The sources mention project lifecycle stages, ownership roles, and document ownership review processes, but none address documentation maintenance procedures.  

Answer:  
""I can only answer questions about the company policies contained in the knowledge base.""",01-company-overview.md; 03-human-resources-policy.md; 05-operations-policy.md
What is the process for escalating operational issues?,Operational issues must be escalated according to defined procedures,05-operations-policy.md,"The process for escalating operational issues involves categorizing issues under the Escalation Framework, with **Critical** issues requiring immediate escalation due to their impact on business operations (Source 1, Source 2). Employees are instructed to escalate issues early and communicate respectfully, ensuring relevant information is shared promptly (Source 4). The **Operations** team is responsible for coordination and execution, which includes managing escalations per the defined framework (Source 5). Critical issues demand immediate action to prevent business disruption, while other issues follow the established escalation protocols. Communication principles emphasize assuming positive intent and maintaining respectful dialogue during escalation. 

Sources:  
- Source 1  
- Source 2  
- Source 4  
- Source 5",01-company-overview.md; 05-operations-policy.md
